model,dataset,dataset_path,method,budget,n_sink,context_len,target_len,token_offset,position_mode,ppl,ttft_s,prefill_time_s,tpot_ms,throughput_tok_s,peak_mem_mb,prefill_cache_len,final_cache_len,prefill_cache_len_layer0,prefill_cache_len_avg,prefill_cache_len_min,prefill_cache_len_max,prefill_cache_lens,final_cache_len_layer0,final_cache_len_avg,final_cache_len_min,final_cache_len_max,final_cache_lens
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,baseline,0,4,1536,512,0,absolute,31.40385309089213,0.026410468002723064,0.026410468002723064,7.186538189826256,139.14905530115556,318.3291015625,1536,2047,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536]",2047,2047.0,2047,2047,"[2047, 2047, 2047, 2047, 2047, 2047]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,baseline,0,4,1536,512,0,absolute,59.7774959892816,0.02694830899781664,0.02694830899781664,6.749526927597459,148.15853180927408,318.3291015625,1536,2047,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536]",2047,2047.0,2047,2047,"[2047, 2047, 2047, 2047, 2047, 2047]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_prefill,256,4,1536,512,0,absolute,29.94714887786306,0.028840831000707112,0.028840831000707112,7.797316266149463,128.2492547264379,302.314453125,256,767,256,256.0,256,256,"[256, 256, 256, 256, 256, 256]",767,767.0,767,767,"[767, 767, 767, 767, 767, 767]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_prefill,512,4,1536,512,0,absolute,30.255730224780866,0.024011273999349214,0.024011273999349214,7.313331798432473,136.73658293670448,305.314453125,512,1023,512,512.0,512,512,"[512, 512, 512, 512, 512, 512]",1023,1023.0,1023,1023,"[1023, 1023, 1023, 1023, 1023, 1023]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_prefill,768,4,1536,512,0,absolute,30.751024854169927,0.030594219999329653,0.030594219999329653,7.285133189825127,137.26585004604482,311.203125,768,1279,768,768.0,768,768,"[768, 768, 768, 768, 768, 768]",1279,1279.0,1279,1279,"[1279, 1279, 1279, 1279, 1279, 1279]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_prefill,1024,4,1536,512,0,absolute,30.90482401871773,0.023568026001157705,0.023568026001157705,6.898612880621913,144.95667713272954,311.8115234375,1024,1535,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]",1535,1535.0,1535,1535,"[1535, 1535, 1535, 1535, 1535, 1535]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_online,256,4,1536,512,0,absolute,31.29015687382642,0.021982181002385914,0.021982181002385914,7.644486909985044,130.81322680974495,296.7197265625,256,256,256,256.0,256,256,"[256, 256, 256, 256, 256, 256]",256,256.0,256,256,"[256, 256, 256, 256, 256, 256]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_online,512,4,1536,512,0,absolute,30.411962658503267,0.02186568300021463,0.02186568300021463,7.77125790019488,128.67929656213352,299.7197265625,512,512,512,512.0,512,512,"[512, 512, 512, 512, 512, 512]",512,512.0,512,512,"[512, 512, 512, 512, 512, 512]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_online,768,4,1536,512,0,absolute,30.765170547131078,0.026878478998696664,0.026878478998696664,8.29232255381596,120.59347589413537,302.8232421875,768,768,768,768.0,768,768,"[768, 768, 768, 768, 768, 768]",768,768.0,768,768,"[768, 768, 768, 768, 768, 768]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_online,1024,4,1536,512,0,absolute,30.421696993345943,0.027971633997367462,0.027971633997367462,8.445548457921658,118.40557247197269,306.3232421875,1024,1024,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]",1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_decode_only,256,4,1536,512,0,absolute,30.879967583783728,0.023706898999080295,0.023706898999080295,8.948796391392007,111.7468714521113,312.72998046875,1536,256,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536]",256,256.0,256,256,"[256, 256, 256, 256, 256, 256]"
